tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,awarded_amt
CCY000ETT16000004,"Ministry of Culture, Community and Youth - Ministry Headquarter","Proposed renovation works to 2nd & 3rd storeys for the Ministry of Culture, Community and Youth (MCCY) located at 140 Hill Street, Old Hill Street Police Station, Singapore 179369.",2016-09-15,Awarded to Suppliers,CONCEPT ELEMENTS PTE. LTD.,385140.0
CCY000ETT16000008,"Ministry of Culture, Community and Youth - Ministry Headquarter",Provision of Business Process Reengineer (BPR) Consultancy Services,2016-12-08,Awarded to Suppliers,DELOITTE CONSULTING PTE. LTD.,321000.0
CCY000ETT16000009,"Ministry of Culture, Community and Youth - Ministry Headquarter","REQUEST FOR PROPOSAL (RFP) FOR THE CONCEPTUALISATION, DEVELOPMENT AND IMPLEMENTATION OF INTEGRATED COMMUNICATIONS CAMPAIGNS TO STRENGTHEN THE SINGAPORE SPIRIT",2016-11-09,Awarded to Suppliers,DDB Worldwide Pte Ltd,2493900.0
CCY000ETT16000009,"Ministry of Culture, Community and Youth - Ministry Headquarter","REQUEST FOR PROPOSAL (RFP) FOR THE CONCEPTUALISATION, DEVELOPMENT AND IMPLEMENTATION OF INTEGRATED COMMUNICATIONS CAMPAIGNS TO STRENGTHEN THE SINGAPORE SPIRIT",2016-11-09,Awarded to Suppliers,OGILVY & MATHER (SINGAPORE) PRIVATE LIMITED,1997945.5
CCY000ETT16000011,"Ministry of Culture, Community and Youth - Ministry Headquarter","Invitation to Tender (""ITT"") for Citizen Engagement Evaluation Framework and Toolkit for Public Officers",2017-01-13,Awarded to Suppliers,CORPORATE CITIZENSHIP LIMITED,146500.0
CCYNYCETT15000012,"Ministry of Culture, Community and Youth - National Youth Council",RFP on the Provision of SHINE 2015 Festival Programming,2015-05-18,Awarded to Suppliers,THE EVENTS ARTERY PTE. LTD.,665090.0
CCYNYCETT15000014,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR CONCEPTUALISATION AND EVENT MANAGEMENT SERVICES FOR THE SINGAPORE YOUTH AWARD 2015 PRESENTATION CEREMONY ON 12 JULY 2015,2015-05-29,Awarded to Suppliers,TWIST MEDIA PTE. LTD.,148540.0
CCYNYCETT15000015,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR THE PROVISION OF SECURITY SERVICES FOR OUTWARD BOUND SINGAPORE FOR A PERIOD OF TWO (2) YEARS FROM 1 JULY 2015 TO 30 JUNE 2017 WITH OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS,2015-08-28,Awarded to Suppliers,PRIMO GUARDS PRIVATE LIMITED,1278000.0
CCYNYCETT15000016,"Ministry of Culture, Community and Youth - National Youth Council","INVITATION TO TENDER FOR DESIGN SERVICES AND ALTERATION WORKS FOR THE NATIONAL YOUTH COUNCIL ACADEMY (NYCA) @ 113 SOMERSET ROAD, SINGAPORE 238165 AND YOUTH PARK @ 121 SOMERSET ROAD, SINGAPORE 238166",2015-07-22,Awarded to Suppliers,DAVOE CREATIVE PTE. LTD.,127000.0
CCYNYCETT15000016,"Ministry of Culture, Community and Youth - National Youth Council","INVITATION TO TENDER FOR DESIGN SERVICES AND ALTERATION WORKS FOR THE NATIONAL YOUTH COUNCIL ACADEMY (NYCA) @ 113 SOMERSET ROAD, SINGAPORE 238165 AND YOUTH PARK @ 121 SOMERSET ROAD, SINGAPORE 238166",2015-07-22,Awarded to Suppliers,MU INTERIOR PTE LTD,263885.0
CCYNYCETT15000019,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR PROVISION OF LOGISTICS AND EVENT MANAGEMENT SERVICES FOR SHINE FESTIVAL 2015,2015-07-08,Awarded to Suppliers,THE EVENTS ARTERY PTE. LTD.,460675.0
CCYNYCETT15000022,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF FIBREGLASS SAILING CRAFTS FOR OUTWARD BOUND SINGAPORE,2015-10-30,Awarded to Suppliers,DYNAGLASS REINFORCED PLASTIC (PTE) LTD,577000.0
CCYNYCETT15000023,"Ministry of Culture, Community and Youth - National Youth Council","INVITATION TO TENDER FOR THE PROVISION OF 24 HOURS SECURITY SERVICES AT NATIONAL YOUTH COUNCIL BUILDING, YOUTH PARK AND SKATE PARK FOR A PERIOD OF ONE YEAR WITH OPTION TO EXTEND FOR ONE YEAR",2015-10-30,Awarded to Suppliers,K11 SECURITY ENGINEERING PTE. LTD.,81600.0
CCYNYCETT15000024,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR ONE YEAR TERM CONTRACT OF PROJECT MANAGER FOR OBS INFRASTRUCTURE AND BUILDING PROJECTS  WITH THE OPTION TO EXTEND FOR ANOTHER ONE YEAR,2015-10-09,Awarded to No Suppliers,,0.0
CCYNYCETT15000025,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR THE PROVISION OF SERVICES TO CONDUCT A JOB EVALUATION EXERCISE FOR NATIONAL YOUTH COUNCIL,2016-02-15,Awarded to Suppliers,Hay Group Pte Ltd,110250.0
CCYNYCETT15000026,"Ministry of Culture, Community and Youth - National Youth Council","INVITATION TO TENDER FOR THE DESIGN, BUILD AND UPGRADE OF FUEL STORAGE TANKS AND SYSTEMS AT OUTWARD BOUND SINGAPORE (OBS), PULAU UBIN",2015-12-17,Awarded to No Suppliers,,0.0
CCYNYCETT15000027,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR PROVISION OF MANAGING AGENT SERVICES FOR NATIONAL YOUTH COUNCIL FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ONE (1) YEAR,2016-03-02,Awarded to Suppliers,UEMS SOLUTIONS PTE. LTD.,262620.0
CCYNYCETT15000028,"Ministry of Culture, Community and Youth - National Youth Council","INVITATION TO TENDER FOR THE SUPPLY, DESIGN, DEVELOPMENT, DELIVERY, INSTALLATION, TESTING, TRAINING AND COMMISSIONING OF A FULLY OPERATIONAL ONLINE SURVEY APPLICATION SOFTWARE",2016-06-23,Awarded to Suppliers,JUSFEEDBACK PTE. LTD.,126822.0
CCYNYCETT15000029,"Ministry of Culture, Community and Youth - National Youth Council","REQUEST FOR PROPOSAL (RFP) FOR THE PROVISION OF EVENT MANAGEMENT COMPANY TO PLAN, COORDINATE AND EXECUTE THE PROGRAMMING CONTENTS FOR SHINE FESTIVAL 2016",2016-02-29,Awarded to Suppliers,THE EVENTS ARTERY PTE. LTD.,781792.5
CCYNYCETT16000001,"Ministry of Culture, Community and Youth - National Youth Council",REQUEST FOR PROPOSAL (RFP) FOR THE PROVISION OF SHINE FESTIVAL 2016 INTEGRATED FESTIVAL MARKETING CAMPAIGN,2016-03-16,Awarded to Suppliers,DSTNCT PTE. LTD.,398700.0
CCYNYCETT16000002,"Ministry of Culture, Community and Youth - National Youth Council","INVITATION TO TENDER FOR THE PROVISION OF PUBLIC RELATIONS CONSULTANCY SERVICES FOR NYC FOR A PERIOD OF 12 MONTHS, WITH THE OPTION TO EXTEND FOR ANOTHER 12 MONTHS",2016-05-30,Awarded to Suppliers,EDELMAN PUBLIC RELATIONS WORLDWIDE PTE LTD,203040.0
CCYNYCETT16000003,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR NON-COMPREHENSIVE MAINTENANCE OF GENERATORS AND PUMPS SYSTEM AT OUTWARD BOUND SINGAPORE PULAU UBIN FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018 WITH AN OPTION TO EXTEND FOR ANOTHER TWO YEARS,2016-05-27,Awarded to No Suppliers,,0.0
CCYNYCETT16000004,"Ministry of Culture, Community and Youth - National Youth Council",RFP for 1.Programme Partners (PP) to operate and manage the 5 days YCS Leaders Induction Camp inclusive of designing and executing (Part 1) of the induction Camp; and 2.Programme Partners (PP) to design and execute Youth Corps Singapore Leaders Programme Trainings (Part 1 and /or Part 2).,2016-06-30,Awarded to Suppliers,PIVOTAL YOUTH PTE. LTD.,210000.0
CCYNYCETT16000004,"Ministry of Culture, Community and Youth - National Youth Council",RFP for 1.Programme Partners (PP) to operate and manage the 5 days YCS Leaders Induction Camp inclusive of designing and executing (Part 1) of the induction Camp; and 2.Programme Partners (PP) to design and execute Youth Corps Singapore Leaders Programme Trainings (Part 1 and /or Part 2).,2016-06-30,Awarded to Suppliers,ROHEI CORPORATION PTE. LTD.,49200.0
CCYNYCETT16000004,"Ministry of Culture, Community and Youth - National Youth Council",RFP for 1.Programme Partners (PP) to operate and manage the 5 days YCS Leaders Induction Camp inclusive of designing and executing (Part 1) of the induction Camp; and 2.Programme Partners (PP) to design and execute Youth Corps Singapore Leaders Programme Trainings (Part 1 and /or Part 2).,2016-06-30,Awarded to Suppliers,SUSTAINABLE LIVING LAB PTE. LTD.,8400.0
CCYNYCETT16000005,"Ministry of Culture, Community and Youth - National Youth Council",Invitation To Tender For Grass Cutting And Horticulture Maintenance At OBS For The Period 1 July 2016 To 30 June 2018 With An Option To Extend For Another Two Years,2016-07-21,Awarded to Suppliers,PRINCE'S LANDSCAPE AND CONSTRUCTION PTE LTD,699205.0
CCYNYCETT16000006,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR PROVISION OF LOGISTICS AND EVENT MANAGEMENT SERVICES FOR SHINE FESTIVAL 2016,2016-06-28,Awarded to Suppliers,THE EVENTS ARTERY PTE. LTD.,688000.0
CCYNYCETT16000007,"Ministry of Culture, Community and Youth - National Youth Council","REQUEST FOR PROPOSAL (RFP) FOR THE PROVISION OF EVENT MANAGEMENT COMPANY TO PLAN, COORDINATE AND EXECUTE THE PROGRAMMING CONTENTS FOR THE 43RD SHIP FOR SOUTHEAST ASIAN AND JAPANESE YOUTH PROGRAMME (SSEAYP) 2016 LOCAL PROGRAMME",2016-09-08,Awarded to Suppliers,ESPRIMO PTE. LTD.,280302.0
CCYNYCETT16000009,"Ministry of Culture, Community and Youth - National Youth Council",Invitation To Tender For The Provision Of The Tentage Rental Services At Outward Bound Singapore Reception Centre For A Period Of Two Years From 1 January 2017 To 31 December 2018 With The Option To Extend For Another One Year,2016-11-22,Awarded to Suppliers,SIN HIAP MUI PTE. LTD.,82128.0
CCYNYCETT16000010,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR THE PROVISION OF OUTSOURCED HUMAN RESOURCE AND ADMINISTRATION SERVICES FOR NATIONAL YOUTH COUNCIL,2017-01-19,Awarded to Suppliers,APBA PTE. LTD.,121868.0
CCYNYCETT16000011,"Ministry of Culture, Community and Youth - National Youth Council","INVITATION TO TENDER FOR THE SUPPLY, DESIGN, DEVELOPMENT, DELIVERY, INSTALLATION, TESTING, TRAINING, AND COMMISSIONING OF NATIONAL YOUTH COUNCIL (NYC) AND YOUTH CORPS SINGAPORE (YCS) CORPORATE WEBSITE WITH AN OPTION FOR MAINTENANCE",2016-12-28,Awarded to Suppliers,REVEZ MOTION PTE. LTD.,420842.0
CCYNYCETT16000012,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR PROVISION OF PROJECT-BASED STATEMENT OF ACCOUNTS VERIFICATION AND CERTIFICATION SERVICES FOR NATIONAL YOUTH COUNCIL FUNDED PROJECTS,2017-01-19,Awarded to Suppliers,JPL WONG & CO,324500.0
CCYNYCETT16000013,"Ministry of Culture, Community and Youth - National Youth Council","Invitation To Tender For The Provision Of Barge Services For Outward Bound Singapore, Pulau Ubin For A Period Of Two Years From 1 January 2017 To 31 December 2018 With An Option To Extend For Another Two Years",2017-01-09,Awarded to Suppliers,HIAP SHING CONSTRUCTION PTE. LTD.,163800.0
CCYNYCETT16000016,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR SUPPLY AND DELIVERY OF TEE SHIRTS FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2016-12-30,Awarded to Suppliers,ANCELL ENTERPRISE PTE LTD,0.25
CCYNYCETT16000016,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR SUPPLY AND DELIVERY OF TEE SHIRTS FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2016-12-30,Awarded to Suppliers,APPAREL EMPIRE PTE. LTD.,0.25
CCYNYCETT16000016,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR SUPPLY AND DELIVERY OF TEE SHIRTS FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2016-12-30,Awarded to Suppliers,PF FAREAST PTE. LTD.,0.25
CCYNYCETT16000016,"Ministry of Culture, Community and Youth - National Youth Council",INVITATION TO TENDER FOR SUPPLY AND DELIVERY OF TEE SHIRTS FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2016-12-30,Awarded to Suppliers,SIN MING INDUSTRIES (PTE) LTD.,0.25
CDVECDETT14000003,Ministry of Social and Family Development - Early Childhood Development Agency,Invitation to Tender for the Provision of Venue and Related Services for the ECDA Early Childhood Conference & Carnival 2015 (ECCC 2015),2015-01-25,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE,890017.59
CDVECDETT15000001,Ministry of Social and Family Development - Early Childhood Development Agency,Invitation to Tender for the Provision of Training on the Nurturing Early Learners (NEL) Framework for Mother Tongue Languages (MTLs),2015-05-13,Awarded to Suppliers,NATIONAL INSTITUTE OF EDUCATION,1983000.0
CDVECDETT15000003,Ministry of Social and Family Development - Early Childhood Development Agency,"Provision of Social Workers, Social Work Assistants Or Community Workers To Conduct Pre-School Outreach For 5 And 6 Years Old Singaporean Children Who Are Identified As Not Attending Pre-School Or Having Poor Attendance In The Pre-School In 2015",2015-05-21,Awarded to Suppliers,ASSOCIATION OF MUSLIM PROFESSIONALS,63300.0
CDVECDETT15000003,Ministry of Social and Family Development - Early Childhood Development Agency,"Provision of Social Workers, Social Work Assistants Or Community Workers To Conduct Pre-School Outreach For 5 And 6 Years Old Singaporean Children Who Are Identified As Not Attending Pre-School Or Having Poor Attendance In The Pre-School In 2015",2015-05-21,Awarded to Suppliers,SINGAPORE CHILDREN'S SOCIETY,116700.0
CDVECDETT15000003,Ministry of Social and Family Development - Early Childhood Development Agency,"Provision of Social Workers, Social Work Assistants Or Community Workers To Conduct Pre-School Outreach For 5 And 6 Years Old Singaporean Children Who Are Identified As Not Attending Pre-School Or Having Poor Attendance In The Pre-School In 2015",2015-05-21,Awarded to Suppliers,SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA),51750.0
CDVECDETT15000004,Ministry of Social and Family Development - Early Childhood Development Agency,Invitation to Tender for the Provision of Event Management (EM) for Early Childhood Development Agency (ECDA) Early Childhood Conference & Carnival (ECCC) 2015,2015-05-13,Awarded to Suppliers,FIRST WAVE PTE. LTD.,160050.0
CDVECDETT15000005,Ministry of Social and Family Development - Early Childhood Development Agency,Invitation to Tender for the Provision of Audit Service on Child Care Subsidy Claims by Centres for the Period April 2014 to March 2015 and April 2015 to Mar 2016 (FY 2014 and FY 2015) with an Option to Renew Service for Another Year,2015-08-12,Awarded to Suppliers,YONG FAN KIONG & CO,103730.0
CDVECDETT15000006,Ministry of Social and Family Development - Early Childhood Development Agency,INVITATION TO TENDER FOR THE ORGANISATION OF EXHIBITION AND FRINGE ACTIVITIES FOR EARLY CHILDHOOD CONFERENCE & CARNIVAL (ECCC) 2015,2015-08-28,Awarded to Suppliers,MACRO EVENTS PTE LTD,132000.0
CDVECDETT15000007,Ministry of Social and Family Development - Early Childhood Development Agency,INVITATION TO TENDER FOR THE PROVISION OF CONSULTANCY SERVICES FOR AN EARLY CHILDHOOD SECTOR MANPOWER STUDY,2015-10-06,Awarded to Suppliers,Hay Group Pte Ltd,200000.0
CDVECDETT15000008,Ministry of Social and Family Development - Early Childhood Development Agency,Invitation to Tender for the Provision of Venue and Related Services for the ECDA Early Childhood Conference 2016 (ECC2016),2016-01-04,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE,431313.85
CDVECDETT16000001,Ministry of Social and Family Development - Early Childhood Development Agency,"Invitation to Tender for the Provision of Service(s) To Conduct Pre-School Outreach to Families of Singaporean Children, Aged 3  6 Years Old, Who Are Identified As Not In Pre-School or Have Poor Pre-School Attendance",2016-05-10,Awarded to Suppliers,SINGAPORE CHILDREN'S SOCIETY,304200.0
CDVECDETT16000001,Ministry of Social and Family Development - Early Childhood Development Agency,"Invitation to Tender for the Provision of Service(s) To Conduct Pre-School Outreach to Families of Singaporean Children, Aged 3  6 Years Old, Who Are Identified As Not In Pre-School or Have Poor Pre-School Attendance",2016-05-10,Awarded to Suppliers,SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA),65000.0
CDVECDETT16000002,Ministry of Social and Family Development - Early Childhood Development Agency,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT (EM) SERVICES TO EARLY CHILDHOOD DEVELOPMENT AGENCY (ECDA) FOR EARLY CHILDHOOD CONFERENCE (ECC) 2016,2016-05-09,Awarded to Suppliers,MACRO EVENTS PTE LTD,177670.0
CDVECDETT16000003,Ministry of Social and Family Development - Early Childhood Development Agency,"INVITATION TO TENDER FOR THE PROVISION OF EDITORIAL, DESIGN, PRODUCTION AND DELIVERY SERVICES OF THE QUARTERLY EARLY CHILDHOOD MAGAZINE",2016-08-04,Awarded to Suppliers,MEDIACORP PTE. LTD.,45600.0
CDVECDETT16000004,Ministry of Social and Family Development - Early Childhood Development Agency,INVITATION TO TENDER FOR THE PROVISION OF TRAINING ON THE NURTURING EARLY LEARNERS (NEL) EDUCATORS GUIDE FOR MOTHER TONGUE LANGUAGES,2016-08-24,Awarded to Suppliers,SEED INSTITUTE PTE. LTD.,452000.0
CDVECDETT16000005,Ministry of Social and Family Development - Early Childhood Development Agency,Invitation to Tender for the Provision of digital services for the 1-year maintenance of Beanstalk Facebook Page,2016-10-28,Awarded to Suppliers,TECHLYON PTE. LTD.,87940.0
CDVECDETT16000006,Ministry of Social and Family Development - Early Childhood Development Agency,Invitation to Tender for the Provision of Grant Audit Services,2017-01-20,Awarded to Suppliers,ECOVIS ASSURANCE LLP,173000.0
CDVFDMETT14000035,Ministry of Social and Family Development - Family Development Group,PROVISION OF AN INTEGRATED ONLINE COMMUNICATIONS STRATEGY,2015-04-21,Awarded to Suppliers,SPLASH INTERACTIVE PTE. LTD.,201079.48
CDVFDMETT15000001,Ministry of Social and Family Development - Family Development Group,Provision of Triple P System Providers (Levels 2 and 3),2015-03-30,Awarded to Suppliers,ADELE EDUCATIONAL PSYCHOLOGY SERVICES,27700.0
CDVFDMETT15000001,Ministry of Social and Family Development - Family Development Group,Provision of Triple P System Providers (Levels 2 and 3),2015-03-30,Awarded to Suppliers,FAMILYWISE,99000.0
CDVFDMETT15000001,Ministry of Social and Family Development - Family Development Group,Provision of Triple P System Providers (Levels 2 and 3),2015-03-30,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,124800.0
CDVFDMETT15000001,Ministry of Social and Family Development - Family Development Group,Provision of Triple P System Providers (Levels 2 and 3),2015-03-30,Awarded to Suppliers,Filos Community Services Ltd,20800.0
CDVFDMETT15000001,Ministry of Social and Family Development - Family Development Group,Provision of Triple P System Providers (Levels 2 and 3),2015-03-30,Awarded to Suppliers,INNERWORKZ,81300.0
CDVFDMETT15000001,Ministry of Social and Family Development - Family Development Group,Provision of Triple P System Providers (Levels 2 and 3),2015-03-30,Awarded to Suppliers,METHODIST WELFARE SERVICES,21500.0
CDVFDMETT15000001,Ministry of Social and Family Development - Family Development Group,Provision of Triple P System Providers (Levels 2 and 3),2015-03-30,Awarded to Suppliers,Morning Star Community Services,205700.0
CDVFDMETT15000029,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),2015-04-06,Awarded to Suppliers,CARE CORNER SINGAPORE LTD,51520.0
CDVFDMETT15000029,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),2015-04-06,Awarded to Suppliers,CORNERSTONE COMMUNITY SERVICES CENTRE,33000.0
CDVFDMETT15000029,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),2015-04-06,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,60000.0
CDVFDMETT15000029,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),2015-04-06,Awarded to Suppliers,SOCIETY OF SHENG HONG WELFARE SERVICES,78720.0
CDVFDMETT15000033,Ministry of Social and Family Development - Family Development Group,PROVISION OF A PUBLISHING AGENCY TO PRODUCE SOCIAL DEVELOPMENT NETWORK (SDN)S QUARTERLY MAGAZINE DUET,2015-05-29,Awarded to Suppliers,NOVUS DIGITAL SOLUTIONS PTE. LTD.,664664.0
CDVFDMETT15000035,Ministry of Social and Family Development - Family Development Group,Provision of Services to Organise Families for Life Celebrations 2015 (FFLC15) Main Event and Families for Life SG50 Picnics,2015-06-12,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,467266.36
CDVFDMETT15000035,Ministry of Social and Family Development - Family Development Group,Provision of Services to Organise Families for Life Celebrations 2015 (FFLC15) Main Event and Families for Life SG50 Picnics,2015-06-12,Awarded to Suppliers,SPHERE EXHIBITS PTE. LTD.,688880.0
CDVFDMETT15000036,Ministry of Social and Family Development - Family Development Group,Provision of Call Answering and Hotline Management Service for Government-paid Leave Schemes,2015-06-12,Awarded to Suppliers,TERRA SYSTEMS PTE. LTD.,1478060.0
CDVFDMETT15000037,Ministry of Social and Family Development - Family Development Group,REQUEST FOR PROPOSAL (RFP) FOR THE STUDY ON EXTENDED FAMILIES IN SINGAPORE,2015-06-22,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,178000.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,APKIM RESOURCES,16000.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,CAROLINA EDUCATION CONSULTANCY PTE. LTD.,8000.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,En Community Services Society,8000.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,40000.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,Morning Star Community Services,16000.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,SPARKZ CONSULTANTS PTE. LTD.,16000.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,Suchi Success Initiatives Pte Ltd,8000.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,TOUCH COMMUNITY SERVICES LIMITED,37500.0
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED,43500.0
CDVFDMETT15000039,Ministry of Social and Family Development - Family Development Group,Provision of Families for Life (FFL) collaterals and resource materials,2015-07-03,Awarded to Suppliers,AMPHASIS DESIGN PTE LTD,1500.0
CDVFDMETT15000039,Ministry of Social and Family Development - Family Development Group,Provision of Families for Life (FFL) collaterals and resource materials,2015-07-03,Awarded to Suppliers,Graphic Masters & Advertising Pte Ltd,39370.0
CDVFDMETT15000039,Ministry of Social and Family Development - Family Development Group,Provision of Families for Life (FFL) collaterals and resource materials,2015-07-03,Awarded to Suppliers,LEE & LIM INTERNATIONAL,68170.0
CDVFDMETT15000045,Ministry of Social and Family Development - Family Development Group,Social Survey about Care Arrangements for Infants,2015-08-04,Awarded to Suppliers,EA RESEARCH & CONSULTING PTE. LTD.,109200.0
CDVFDMETT15000049,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Services to Organise Families for Life Monthly Picnics,2015-12-02,Awarded to No Suppliers,,0.0
CDVFDMETT15000051,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Administration of Cinta Abadi Marriage Preparation Programme,2015-10-30,Awarded to Suppliers,MENDAKI SOCIAL ENTERPRISE NETWORK SINGAPORE PTE. LTD.,562710.0
CDVFDMETT15000052,Ministry of Social and Family Development - Family Development Group,INVITATION TO TENDER FOR THE PROVISION OF ADMINISTRATION AND TRAINING SERVICES FOR LOCAL DATING INDUSTRY,2015-12-11,Awarded to Suppliers,SINGAPORE NATIONAL EMPLOYERS FEDERATION,246560.0
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,COMPASS LIFE,73500.0
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,En Community Services Society,77550.0
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,FAMILYWISE,219600.0
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,125100.0
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,Morning Star Community Services,391600.0
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,Reach Community Services Society,35772.5
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED,278920.0
